"_id","name","status","archived"
"cam_7bGKGsNNgEZrEG7r2","Mateus's campaign (1)","draft","True"
"cam_2Bguhq9mpRxkJEZiA","Mateus's campaign (2)","draft","True"
"cam_FYgGXR9nMFrmvkn57","Mateus's campaign (3)","draft","True"
"cam_WR8cSASsNCYYeKAcv","campanha 23/02 - Linkedin","running",
"cam_jpkjf5Q3JRKGfusHD","campanha 09/03/2026 - gerentes e diretores","running",
"cam_T23DR8c8HjnGK7Dw7","AI - Mateus’s Campaign","draft","True"
"cam_f8pDPP2RyJuzFJkj3","Mateus's campaign (4)","draft","True"
"cam_jqYLdK67SiCpcewzd","Campanha 3","draft","True"
"cam_sPqLaZQNcDTPGm4Kj","CEO´s","paused",
"cam_gm2HNGZi3GHF26zFW","Gerentes e Diretores de Pós-vendas  SEGUIMOS","running",
"cam_nMwYQbLSLxfyFQ6kB","Maquinas Amarelas","paused",
"cam_rFrBs9E9SNMgyDs6u","Diretores","paused",
"cam_6vpgMXzZASNHTJ6f3","Gerente de Novos Negocios","paused",
"cam_QLmmJ53GZmBdBp2q7","gerentes, coordenadores de pós vendas","running",
"cam_iiyT3Kz9kEuPYnmCR","compras e suprimentos","running",
"cam_fKziZ6okn9SywnR6p","Gerentes de Pós-Vendas — Sofia 14D 🎯","running",
"cam_fvsdo3iaQEFefr46A","Gerentes de Pós-Vendas — Sofia 14D v2 🎯","paused",
"cam_kmwkLzuJKb2r2T7Zx","Gerentes Pós-Vendas — PEDRA v3 🏆","running",
